,ds,open_price,high_price,low_price,y,volume,foreign,investment,dealer,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,ratio_over_1000_shares
176,2023-07-28,2140.0,2170.0,2105.0,2170.0,1477580,44610,11000,13910,42.1,15,8,6,16.88
177,2023-07-31,2105.0,2105.0,1960.0,1990.0,4684420,676614,-242096,-13199,42.7,12,6,8,18.58
178,2023-08-01,2025.0,2040.0,1935.0,1960.0,3360384,134279,-18000,-23215,42.7,12,6,8,18.58
179,2023-08-02,1985.0,2015.0,1880.0,1895.0,4081570,256925,-49000,-65665,42.7,12,6,8,18.58
180,2023-08-04,1890.0,1950.0,1855.0,1855.0,2649580,-261141,-234097,17207,42.7,12,6,8,18.58
181,2023-08-07,1875.0,2040.0,1875.0,2040.0,2612457,506948,-3000,30382,44.03,11,9,8,18.51
182,2023-08-08,2175.0,2175.0,2095.0,2145.0,3647164,-144771,-24000,-3059,44.03,11,9,8,18.51
183,2023-08-09,2115.0,2185.0,2045.0,2070.0,2477582,-126039,-126096,-15325,44.03,11,9,8,18.51
184,2023-08-10,2045.0,2060.0,1865.0,1865.0,3105935,-1879,-229000,-51556,44.03,11,9,8,18.51
185,2023-08-11,1865.0,1895.0,1765.0,1820.0,4535729,1117471,-656000,-13519,44.03,11,9,8,18.51
186,2023-08-14,1790.0,1835.0,1780.0,1815.0,1568080,59116,-24929,6790,43.56,13,6,9,18.41
187,2023-08-15,1905.0,1940.0,1850.0,1890.0,3060342,43970,-81000,17711,43.56,13,6,9,18.41
188,2023-08-16,1865.0,1925.0,1860.0,1905.0,2196361,-234351,35000,20215,43.56,13,6,9,18.41
189,2023-08-17,1880.0,2020.0,1870.0,1970.0,3388693,57450,-3000,64380,43.56,13,6,9,18.41
190,2023-08-18,1975.0,2015.0,1940.0,1970.0,3068781,196310,66000,-1497,43.56,13,6,9,18.41
191,2023-08-21,2165.0,2165.0,2165.0,2165.0,908228,126935,11000,8051,45.41,13,6,11,18.02
192,2023-08-22,2380.0,2380.0,2315.0,2380.0,3620885,766650,358096,-121017,45.41,13,6,11,18.02
193,2023-08-23,2380.0,2435.0,2325.0,2390.0,3890768,476025,-5000,-83220,45.41,13,6,11,18.02
194,2023-08-24,2550.0,2590.0,2450.0,2495.0,3017133,189701,-14000,-16808,45.41,13,6,11,18.02
195,2023-08-25,2450.0,2495.0,2410.0,2430.0,1829082,-241138,42000,-23530,45.41,13,6,11,18.02
196,2023-08-28,2475.0,2475.0,2375.0,2410.0,2304633,-1615,-9000,-828,45.23,17,6,8,18.42
197,2023-08-29,2430.0,2490.0,2380.0,2490.0,2053166,54486,-72000,12925,45.23,17,6,8,18.42
198,2023-08-30,2525.0,2595.0,2520.0,2555.0,2537366,154237,118280,9328,45.23,17,6,8,18.42
199,2023-08-31,2530.0,2555.0,2455.0,2470.0,2260563,-377379,-13000,6149,45.23,17,6,8,18.42
200,2023-09-01,2485.0,2520.0,2435.0,2445.0,1285367,16375,0,-21959,45.23,17,6,8,18.42
201,2023-09-04,2455.0,2530.0,2430.0,2480.0,925329,153771,-18000,-6340,44.1,14,5,7,21.35
202,2023-09-05,2500.0,2525.0,2470.0,2475.0,702103,-106830,36904,5152,44.1,14,5,7,21.35
203,2023-09-06,2495.0,2530.0,2475.0,2500.0,694619,124900,6000,23866,44.1,14,5,7,21.35
204,2023-09-07,2475.0,2495.0,2435.0,2450.0,865120,-161953,23000,-17449,44.1,14,5,7,21.35
205,2023-09-08,2430.0,2460.0,2400.0,2410.0,637548,-15949,20000,-15992,44.1,14,5,7,21.35
206,2023-09-11,2430.0,2465.0,2365.0,2400.0,1494701,-16501,44000,-3804,45.57,16,9,6,18.76
207,2023-09-12,2440.0,2530.0,2420.0,2530.0,1875105,157883,117000,-5317,45.57,16,9,6,18.76
208,2023-09-13,2535.0,2715.0,2515.0,2620.0,3817178,19306,145000,16440,45.57,16,9,6,18.76
209,2023-09-14,2660.0,2700.0,2620.0,2655.0,1870220,45208,-67000,-1611,45.57,16,9,6,18.76
210,2023-09-15,2680.0,2695.0,2580.0,2645.0,2469789,-138554,16903,1379,45.57,16,9,6,18.76
211,2023-09-18,2600.0,2670.0,2600.0,2615.0,1111520,68150,-22000,5876,43.57,16,7,7,17.24
212,2023-09-19,2655.0,2710.0,2605.0,2605.0,1762397,-223327,9000,-448,43.57,16,7,7,17.24
213,2023-09-20,2620.0,2620.0,2430.0,2450.0,2140094,-114800,-41000,-13195,43.57,16,7,7,17.24
214,2023-09-21,2390.0,2425.0,2325.0,2360.0,2339528,-10303,-43500,-32031,43.57,16,7,7,17.24
215,2023-09-22,2320.0,2500.0,2280.0,2500.0,2966209,78672,-14600,23573,43.57,16,7,7,17.24
216,2023-09-25,2500.0,2630.0,2490.0,2625.0,2418032,240486,101903,10800,44.21,14,10,7,17.01
217,2023-09-26,2615.0,2655.0,2570.0,2600.0,1986399,-19899,2000,813,44.21,14,10,7,17.01
218,2023-09-27,2645.0,2680.0,2610.0,2635.0,2406665,-7043,50000,22658,44.21,14,10,7,17.01
219,2023-09-28,2670.0,2740.0,2670.0,2690.0,2139887,109598,18000,29494,44.21,14,10,7,17.01
220,2023-10-02,2735.0,2835.0,2730.0,2730.0,2087962,-58235,16200,23427,45.02,15,10,6,18.41
221,2023-10-03,2755.0,2780.0,2680.0,2695.0,1531839,9569,-40000,-1735,45.02,15,10,6,18.41
222,2023-10-04,2660.0,2710.0,2650.0,2690.0,1383806,-11120,-35000,-857,45.02,15,10,6,18.41
223,2023-10-05,2750.0,2770.0,2705.0,2710.0,1279686,-91900,6000,2374,45.02,15,10,6,18.41
224,2023-10-06,2750.0,2775.0,2670.0,2775.0,2077704,97124,-49000,1428,45.02,15,10,6,18.41
225,2023-10-11,2835.0,2905.0,2770.0,2770.0,3164480,42674,31900,23398,44.4,15,10,5,18.92
226,2023-10-12,2825.0,2910.0,2760.0,2800.0,3144723,95586,-8000,17614,44.4,15,10,5,18.92
227,2023-10-13,2800.0,2845.0,2710.0,2770.0,2256333,11221,-3000,-933,44.4,15,10,5,18.92
228,2023-10-16,2750.0,2785.0,2695.0,2745.0,1563939,-108845,-6097,5340,43.1,13,11,6,17.29
229,2023-10-17,2780.0,2815.0,2615.0,2630.0,2756039,-334179,-5097,-26423,43.1,13,11,6,17.29
230,2023-10-18,2550.0,2590.0,2395.0,2440.0,4247482,-245544,-468000,-31464,43.1,13,11,6,17.29
231,2023-10-19,2405.0,2605.0,2400.0,2600.0,3413121,156089,152000,18986,43.1,13,11,6,17.29
232,2023-10-20,2560.0,2615.0,2520.0,2575.0,2087036,-97696,12000,10294,43.1,13,11,6,17.29
233,2023-10-23,2550.0,2565.0,2475.0,2500.0,1567994,-106711,-37000,2507,43.53,13,11,6,17.7
234,2023-10-24,2540.0,2595.0,2510.0,2570.0,1958232,-54590,24000,2102,43.53,13,11,6,17.7
235,2023-10-25,2605.0,2700.0,2605.0,2620.0,2811036,-315954,61040,-556,43.53,13,11,6,17.7
236,2023-10-26,2495.0,2540.0,2465.0,2465.0,1788746,-214039,9096,-24557,43.53,13,11,6,17.7
237,2023-10-27,2515.0,2615.0,2505.0,2610.0,2773879,201033,42000,15446,43.53,13,11,6,17.7
